source_file,english_like_text_not_matched_by_fa_i18n
index.html,Amirmohammad Lotfifar - Cognitive Neuroscience Researcher
index.html,Emotion · Decision-Making · Computational Modeling · EEG
index.html,Islamic Azad University
index.html,"Tehran, Iran"
index.html,a.lotfifar@iau.ir
index.html,Professional
index.html,"Islamic Azad University, Science and Research Branch • Tehran, Iran • Sep 2019 - Jun 2024"
index.html,OSF / Project Page
index.html,Payroll
index.html,Attendance
index.html,"Islamic Azad University, Science and Research Branch • Sep 2019 - Jun 2024"
index.html,143 units
index.html,"August 17, 2024"
index.html,70 completed
index.html,"~2,056 hours"
index.html,~456 hours
index.html,"~2,512 contact hours"
index.html,Transcript snapshot
index.html,"Quick view of course categories, credits, and grades"
index.html,Nerves & Glands Physiology
index.html,Physiologic Psychology
index.html,Sensation & Perception
index.html,History & Schools of Psychology & its Criticism
index.html,Learning Psychology
index.html,Motivation & Emotion
index.html,Cognitive Psychology
index.html,Experimental Psychology
index.html,Learning Disorders
index.html,‍Clinical & Applied Psychology
index.html,Fundamentals of Guidance & Counselling
index.html,Essential Topics in Psychology 1
index.html,Essential Topics in Psychology 2
index.html,Psychology from Point of View of Muslim Thinkers
index.html,Philosophy of Psychology
index.html,Educational Psychology
index.html,Psychopathology 1
index.html,Child & Adolescent Psychopathology
index.html,An Introduction to Islamic Philosophy
index.html,Psychological Instructions in the Glorious Quran & Hadith 1
index.html,Psychopathology 2
index.html,Theories of Consultation & Psychotherapy
index.html,Educational / Vocational Guidance & Counselling
index.html,Psychological Instructions in the Glorious Quran & Hadith 2
index.html,Mental Health
index.html,Generalities of Psychiatry
index.html,Health Psychology
index.html,Principles of Clinical Psychology
index.html,Behavioral Modification Methods
index.html,Counseling & Psychotherapy Techniques
index.html,Fundamentals of Sociology
index.html,Sociology Psychology
index.html,Developmental Psychology 1
index.html,Developmental Psychology 2
index.html,Applied Social Psychology
index.html,Personality Psychology
index.html,Religion Psychology
index.html,Social Pathology
index.html,Family Psychology & Guidance
index.html,Knowledge of Family & Population
index.html,Industrial & Organizational Psychology
index.html,Psychology of Children With Special Needs 1
index.html,Psychology of Children With Special Needs 2
index.html,Addiction Psychology
index.html,Sports 1
index.html,Rehabilitation of Children with Special Needs
index.html,Physical Education
index.html,Epistemology
index.html,General Persian Language
index.html,Islamic Ethics (Fundamentals & Concepts)
index.html,Islamic Revolution of Iran
index.html,General English Language
index.html,Analytical History of the Early Islam
index.html,Psychology Texts in English Language 1
index.html,Psychology Texts in English Language 2
index.html,Thematic Interpretation of the Glorious Quran
index.html,Islamic Thought 1 (Origin & Resurrection)
index.html,An Introduction to Holy Defense
index.html,Islamic Revolution Imams Testaments & Imam Khomeini's Testaments
index.html,Islamic Thought 2 (Prophecy & Imamate)
index.html,Familiarity with Glorious Quran
index.html,History of Culture & Civilization of Islam & Iran
index.html,21 Credits
index.html,~352 Hours
index.html,19 Credits
index.html,~432 Hours
index.html,40 Credits
index.html,~672 Hours
index.html,20 Credits
index.html,~320 Hours
index.html,"Special needs, addiction, rehabilitation, and applied performance/physical activity electives"
index.html,7 Courses
index.html,12 Credits
index.html,~240 Hours
index.html,15 Courses
index.html,31 Credits
index.html,~496 Hours
index.html,19/20 (Excellent)
index.html,Comprehensive literature review
index.html,"Examined the psychological impacts of online social interactions on adolescent development, mental health outcomes, and identity formation in the digital age."
index.html,University of Tehran • B.Sc. in Statistics • 2016 - 2019
index.html,Statistics and Applications (Amar va Karbordha)
index.html,Credits Completed:
index.html,~70 units over 3 years
index.html,Withdrew to pursue Psychology with intent to integrate quantitative methods with behavioral science
index.html,Calculus I
index.html,"- Limits, derivatives, integrals, sequences and series"
index.html,Calculus II
index.html,"- Multivariable calculus, partial derivatives, multiple integrals"
index.html,Mathematical Foundations
index.html,"- Logic, set theory, proof techniques"
index.html,Probability & Statistics I
index.html,"- Probability theory, distributions, random variables"
index.html,Probability & Statistics II
index.html,"- Multivariate distributions, sampling theory, limit theorems"
index.html,"- Data summarization, visualization, exploratory analysis"
index.html,"- Hypothesis testing, confidence intervals, estimation theory"
index.html,Computer Science Fundamentals
index.html,"- Algorithms, data structures, computational thinking"
index.html,Statistical Methods
index.html,"- Regression, ANOVA, experimental design"
index.html,"During my time at University of Tehran, I developed a strong interest in languages and completed 12 credits (3 courses) in Korean language at the Faculty of World Studies:"
index.html,Korean Language I
index.html,- Grade: 20/20
index.html,Korean Language II
index.html,Korean Language III
index.html,- Grade: 19.5/20
index.html,This demonstrates my strong aptitude for language acquisition and cross-cultural engagement.
index.html,C++ Programming
index.html,R (Statistical Computing)
index.html,Mathematical Modeling
index.html,Probability Theory
index.html,Statistical Inference
